Start_Date,End_Date,IP_Address,Duration_seconds,ID,consent,certification_status,cert_status_other_text,education,education_diploma_type,education_other_text,age,sex,race_ethnic,race_ethnic_other_text,region,income,cost_0,cost_25,cost_50,cost_100,cost_200,cost_300,cost_400,cost_500,cost_600,cost_700,cost_800,cost_900,cost_1000,cost_1100,cost_1200,cost_1300,cost_1400,cost_1500,cost_1600,cost_1700,cost_1800,cost_1900,cost_2000,cost_2100,cost_2200,cost_2300,cost_2400,cost_2500,cost_2600,cost_2700,cost_2800,cost_2900,cost_3000,max_money,accrue_0_hours,accrue_25_hours,accrue_50_hours,accrue_100_hours,accrue_200_hours,accrue_300_hours,accrue_400_hours,accrue_500_hours,accrue_600_hours,accrue_700_hours,accrue_800_hours,accrue_900_hours,accrue_1000_hours,accrue_1100_hours,accrue_1200_hours,accrue_1300_hours,accrue_1400_hours,accrue_1500_hours,accrue_1600_hours,accrue_1700_hours,accrue_1800_hours,accrue_1900_hours,accrue_2000_hours,accrue_2100_hours,accrue_2200_hours,accrue_2300_hours,accrue_2400_hours,accrue_2500_hours,accrue_2600_hours,accrue_2700_hours,accrue_2800_hours,accrue_2900_hours,accrue_3000_hours,max_hours
10/16/19 19:21,10/16/19 19:23,174.138.218.204,112,R_3OdbilbOUf469tv,"I consent, begin the study",BCaBA,n/a,College Diploma: (please indicate specific Diploma),Autism and Behavioural Science,,"b)	25-29",Female,Southeast Asian,n/a,East,"$20,000 - $29,999",100,,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:21,10/16/19 19:25,99.253.63.55,277,R_tMazCvhr74XeYPn,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,South Asian,n/a,Central West,"$40,000 - $59,999",100,100,100,100,60,60,30,30,30,20,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:13,10/16/19 19:26,198.52.182.200,763,R_1EZMwgp8ggbWgFo,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$70,000 - $79,999",100,100,92,81,58,33,27,11,9,7,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:45,10/16/19 19:50,147.194.125.25,284,R_2Si6uvmrOXBGCKt,"I consent, begin the study",None,n/a,Bachelor's,n/a,,"e)	40-49",Female,Prefer not to answer,n/a,Central West,"$70,000 - $79,999",100,100,100,100,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:04,10/16/19 20:14,70.29.39.12,627,R_3fJiv4lDT4QtnD6,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$100,000 - $119,999",100,100,100,100,100,100,100,100,80,80,80,80,80,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,60,60,60,60,60,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:02,10/16/19 20:18,167.100.90.100,944,R_3qgqvVOesFzjjf2,"I consent, begin the study",None,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,Central West,"$40,000 - $59,999",100,100,100,100,70,60,,,,,45,45,30,30,30,25,25,20,20,20,20,10,11,0,,,,,,,,,,,100,100,100,100,100,100,100,100,80,81,80,80,80,75,75,75,75,75,,,,40,25,26,25,25,24,25,10,10,10,10,10,3000
10/16/19 20:30,10/16/19 20:32,134.41.81.254,95,R_22YvwpmhZ8uKRWm,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:40,10/16/19 20:47,142.118.65.86,426,R_2WGuOxynXdJZXq3,"I consent, begin the study",Other,Communicative Disorders Assistant (CDA),College Diploma: (please indicate specific Diploma),Post Diploma certificate-CDA,,"d)	35-39",Female,White,n/a,West,"$40,000 - $59,999",100,100,100,91,71,58,,22,17,10,11,9,11,6,14,5,3,4,4,4,8,5,6,6,4,5,12,0,,,,,,,100,100,,20,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:50,10/16/19 20:59,107.179.212.20,547,R_pflmFwyw4RZWGGJ,"I consent, begin the study",Other,Pursuing BCBA Exam scheduled ,Master's,n/a,,"c)	30-34",Female,Other:,French ,Central East,"$70,000 - $79,999",100,100,90,85,80,75,60,50,36,15,0,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2000
10/16/19 21:48,10/16/19 21:55,70.53.104.68,429,R_1Gx02nOwCCBvLbk,"I consent, begin the study",None,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$40,000 - $59,999",100,100,100,100,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,100,100,100,100,98,100,100,98,98,100,100,100,100,99,96,100,96,97,,100,100,96,97,99,,,,,,,,,,2000
10/16/19 22:43,10/16/19 22:45,199.119.235.207,87,R_1cYeCC53fMOEadb,"I consent, begin the study",BCBA-D,n/a,PhD,n/a,,"e)	40-49",Male,White,n/a,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 3:25,10/17/19 3:31,70.30.54.187,338,R_dok1zMYu83GwiZj,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$100,000 - $119,999",100,100,100,100,100,100,100,50,50,39,46,48,45,51,49,50,49,49,49,50,51,47,49,,38,50,,,47,46,,51,22,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 4:21,10/17/19 4:25,70.53.108.3,203,R_bQuaw59OgfAVB97,"I consent, begin the study",Other,RBT,Bachelor's,n/a,,"a)	18-24",Female,White,n/a,West,"$20,000 - $29,999",100,100,100,100,41,27,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 6:22,10/17/19 6:23,142.177.81.47,87,R_2ZU2wwmZ1FubkWe,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 6:14,10/17/19 6:28,24.36.98.244,820,R_2zXY69aSE2TWlCB,"I consent, begin the study",None,n/a,Bachelor's,n/a,,"b)	25-29",Female,White,n/a,West,"$20,000 - $29,999",100,100,100,100,100,100,100,100,90,80,70,60,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 9:07,10/17/19 9:12,204.40.194.130,324,R_3NOiHKEsNixEcRe,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$70,000 - $79,999",100,100,100,100,80,80,70,,,,,,25,20,20,20,20,20,15,15,15,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 10:48,10/17/19 10:53,68.71.19.20,294,R_UY1lkFd0tnQmwkp,"I consent, begin the study",None,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,West,"$60,000 - $69,999",80,100,100,100,80,70,70,,29,0,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,81,70,50,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 14:48,10/17/19 14:53,99.248.81.155,289,R_CfzbMOoNxzi2M93,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$80,000 - $89,999",100,100,100,100,100,100,80,70,40,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 14:59,10/17/19 15:09,69.158.246.205,564,R_2aDgOzQYi6VRqMY,"I consent, begin the study",BCBA-D,n/a,PhD,n/a,,"e)	40-49",Female,White,n/a,West,"$150,000 - $200,000",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,80,50,40,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 17:36,10/17/19 17:38,24.141.178.111,99,R_1i3TCdywr2LDKdW,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,Prefer not to answer,n/a,West,prefer not to answer,100,100,100,100,76,,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 18:03,10/17/19 18:11,24.36.15.169,443,R_3eradXFqmsn6NfB,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$80,000 - $89,999",100,100,100,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 18:20,10/17/19 18:26,72.143.204.23,380,R_33EfS5sqE5dWgGV,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central West,"$80,000 - $89,999",100,100,100,100,100,100,100,100,71,61,59,55,,44,43,44,41,43,40,40,40,39,38,33,33,33,34,32,25,25,24,24,25,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 18:47,10/17/19 18:51,99.237.14.84,225,R_2WHejWEKBK7M0iF,"I consent, begin the study",BCBA,n/a,PhD,n/a,,"e)	40-49",Female,White,n/a,Central East,"$120,000 - $150,000",80,100,100,100,100,60,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 19:09,10/17/19 19:25,74.14.39.10,932,R_28MqfGOxd2jyfqv,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$80,000 - $89,999",100,100,100,100,50,,40,40,40,40,30,30,30,30,31,30,20,20,20,20,20,20,20,20,20,20,20,10,10,10,9,10,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 19:19,10/17/19 19:28,67.193.115.20,534,R_2VsaBh0IN1m3L0j,"I consent, begin the study",Other,Working towards BCBA,Bachelor's,n/a,,"b)	25-29",Female,White,n/a,East,"$60,000 - $69,999",100,100,100,100,100,90,70,61,49,30,21,21,0,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,82,80,70,60,,,,,,,2000
10/17/19 21:24,10/17/19 21:38,65.92.78.122,875,R_sMtbQ0alC9Ix2rT,"I consent, begin the study",None,n/a,Master's,n/a,,"c)	30-34",Female,South Asian,n/a,West,"$60,000 - $69,999",100,100,100,100,100,100,100,70,60,50,,,,,,,,35,35,35,35,30,10,0,,,,,,,,,,,100,100,100,100,100,100,100,100,25,25,25,25,0,,,,,,,,,,,,,,,,,,,,,
